DATE,GDP_changes
1/10/2020,3.419455541
1/1/2021,2.241798166
1/4/2021,0.783499775
1/7/2021,-1.695226268
1/10/2021,3.539250751
1/1/2022,0.982052314
1/4/2022,0.974414642
1/7/2022,0.460483942
1/10/2022,0.686695549
1/1/2023,0.510338649
1/4/2023,0.363186915
1/7/2023,0.50049508
1/10/2023,0.124693078
1/1/2024,0.15990037
1/4/2024,0.13876843
1/7/2024,0.335556581
1/10/2024,0.612493087
1/1/2025,0.257536668
1/4/2025,0.600990847
