,Median Price of Established House Transfers (Unstratified) ;  Sydney ;,Median Price of Established House Transfers (Unstratified) ;  Rest of NSW ;,Median Price of Established House Transfers (Unstratified) ;  Melbourne ;,Median Price of Established House Transfers (Unstratified) ;  Rest of Vic. ;,Median Price of Established House Transfers (Unstratified) ;  Brisbane ;,Median Price of Established House Transfers (Unstratified) ;  Rest of Qld. ;,Median Price of Established House Transfers (Unstratified) ;  Adelaide ;,Median Price of Established House Transfers (Unstratified) ;  Rest of SA ;,Median Price of Established House Transfers (Unstratified) ;  Perth ;,Median Price of Established House Transfers (Unstratified) ;  Rest of WA ;,Median Price of Established House Transfers (Unstratified) ;  Hobart ;,Median Price of Established House Transfers (Unstratified) ;  Rest of Tas. ;,Median Price of Established House Transfers (Unstratified) ;  Darwin ;,Median Price of Established House Transfers (Unstratified) ;  Rest of NT ;,Median Price of Established House Transfers (Unstratified) ;  Canberra ;,Median Price of Attached Dwelling Transfers (Unstratified) ;  Sydney ;,Median Price of Attached Dwelling Transfers (Unstratified) ;  Rest of NSW ;,Median Price of Attached Dwelling Transfers (Unstratified) ;  Melbourne ;,Median Price of Attached Dwelling Transfers (Unstratified) ;  Rest of Vic. ;,Median Price of Attached Dwelling Transfers (Unstratified) ;  Brisbane ;,Median Price of Attached Dwelling Transfers (Unstratified) ;  Rest of Qld. ;,Median Price of Attached Dwelling Transfers (Unstratified) ;  Adelaide ;,Median Price of Attached Dwelling Transfers (Unstratified) ;  Rest of SA ;,Median Price of Attached Dwelling Transfers (Unstratified) ;  Perth ;,Median Price of Attached Dwelling Transfers (Unstratified) ;  Rest of WA ;,Median Price of Attached Dwelling Transfers (Unstratified) ;  Hobart ;,Median Price of Attached Dwelling Transfers (Unstratified) ;  Rest of Tas. ;,Median Price of Attached Dwelling Transfers (Unstratified) ;  Darwin ;,Median Price of Attached Dwelling Transfers (Unstratified) ;  Rest of NT ;,Median Price of Attached Dwelling Transfers (Unstratified) ;  Canberra ;,Number of Established House Transfers ;  Sydney ;,Number of Established House Transfers ;  Rest of NSW ;,Number of Established House Transfers ;  Melbourne ;,Number of Established House Transfers ;  Rest of Vic. ;,Number of Established House Transfers ;  Brisbane ;,Number of Established House Transfers ;  Rest of Qld. ;,Number of Established House Transfers ;  Adelaide ;,Number of Established House Transfers ;  Rest of SA ;,Number of Established House Transfers ;  Perth ;,Number of Established House Transfers ;  Rest of WA ;,Number of Established House Transfers ;  Hobart ;,Number of Established House Transfers ;  Rest of Tas. ;,Number of Established House Transfers ;  Darwin ;,Number of Established House Transfers ;  Rest of NT ;,Number of Established House Transfers ;  Canberra ;,Number of Attached Dwelling Transfers ;  Sydney ;,Number of Attached Dwelling Transfers ;  Rest of NSW ;,Number of Attached Dwelling Transfers ;  Melbourne ;,Number of Attached Dwelling Transfers ;  Rest of Vic. ;,Number of Attached Dwelling Transfers ;  Brisbane ;,Number of Attached Dwelling Transfers ;  Rest of Qld. ;,Number of Attached Dwelling Transfers ;  Adelaide ;,Number of Attached Dwelling Transfers ;  Rest of SA ;,Number of Attached Dwelling Transfers ;  Perth ;,Number of Attached Dwelling Transfers ;  Rest of WA ;,Number of Attached Dwelling Transfers ;  Hobart ;,Number of Attached Dwelling Transfers ;  Rest of Tas. ;,Number of Attached Dwelling Transfers ;  Darwin ;,Number of Attached Dwelling Transfers ;  Rest of NT ;,Number of Attached Dwelling Transfers ;  Canberra ;
Jun-2016,895.0,425.0,610.0,305.0,495.0,425.0,440.0,265.0,520.0,330.0,365.0,253.0,548.0,426.0,623.0,720.0,370.0,505.0,260.8,413.0,365.0,367.0,202.5,410.0,300.0,307.5,220.0,437.5,320.0,435.0,12638,12279,15066,5561,9625,8869,4226,1381,5969,1469,922,1427,247,60,1060,10590,2827,10671,890,3584,4758,2008,155,1982,199,334,227,230,61,1163
Sep-2016,900.0,430.5,605.0,310.0,500.0,435.0,445.0,270.0,510.0,327.8,370.0,255.0,520.0,353.5,615.8,710.0,375.0,496.0,260.0,420.0,370.0,365.0,195.0,425.0,270.0,290.0,235.0,342.5,300.0,428.5,12351,12063,14109,5627,9588,9136,4023,1284,5628,1532,859,1384,261,92,994,10672,2914,9634,1016,3480,4793,1608,119,1896,213,296,235,294,53,1064
Dec-2016,985.5,445.0,675.0,320.8,515.0,439.0,447.0,280.0,525.0,345.0,392.0,274.5,522.0,454.5,636.0,735.0,385.0,501.9,276.0,410.0,375.0,365.0,205.0,410.0,288.0,305.0,240.0,381.1,326.3,430.0,13846,13398,16565,6270,9476,9204,4515,1419,5609,1490,1063,1645,259,82,1239,11420,3107,10814,1128,3088,4520,1639,120,1914,227,362,247,188,48,1319
Mar-2017,930.0,455.0,657.5,328.0,510.0,440.0,451.3,285.0,510.0,350.0,389.5,263.0,530.0,430.1,654.5,730.0,395.0,520.0,272.5,405.0,389.0,365.0,180.0,415.0,311.5,315.0,249.0,375.0,319.0,429.9,11314,11995,13358,6070,9089,9025,4256,1479,6206,1642,1113,1861,245,97,1006,10118,2916,9116,1091,3133,4830,1644,117,2174,272,415,267,189,37,1065
Jun-2017,1050.0,460.0,720.0,332.0,518.0,449.0,450.0,270.0,506.0,327.0,400.0,275.0,500.0,423.5,670.0,770.0,424.0,568.9,262.8,392.5,380.0,383.5,200.0,405.0,270.0,300.0,250.0,375.0,307.5,445.0,12280,11763,15375,5862,8951,8303,4221,1354,5845,1501,982,1690,244,86,1068,11180,2848,12623,1112,2846,4380,1906,126,2010,224,347,263,173,34,1144
Sep-2017,950.0,460.0,692.0,328.0,525.0,445.0,451.0,277.5,500.0,325.0,395.0,273.5,500.0,443.0,667.5,720.0,410.0,540.0,279.0,400.0,385.0,375.0,172.0,405.0,268.0,320.0,235.0,375.0,330.0,434.5,12582,13039,14913,6447,8971,8916,4079,1355,5762,1535,917,1619,252,94,956,11380,2826,10153,1167,2746,4422,1711,169,1988,225,402,239,150,41,948
Dec-2017,1029.0,471.5,750.0,350.0,535.0,450.0,470.0,273.4,515.0,340.0,421.0,285.0,513.8,437.5,690.0,741.0,410.0,568.0,280.0,391.0,385.0,390.0,170.0,410.0,255.0,330.0,250.0,340.0,290.0,445.5,12012,13159,16039,6807,9006,9008,4455,1431,6030,1566,1059,1719,246,105,1279,9741,2844,10399,1280,2607,4385,2032,163,2071,241,342,310,168,41,980
Mar-2018,955.0,480.0,731.0,355.0,526.0,449.0,465.0,280.0,510.0,338.0,449.0,295.0,500.0,445.0,698.5,742.0,415.0,565.0,295.0,385.0,390.0,370.0,202.5,400.0,255.0,338.5,249.0,328.0,341.5,436.0,9935,11247,12344,6751,8475,8770,4097,1519,6005,1631,989,1831,245,81,950,8076,2539,8689,1290,2604,4356,1623,167,2113,252,362,332,143,38,878
Jun-2018,973.1,480.0,750.0,355.0,532.0,435.0,468.0,276.0,510.0,310.0,457.8,300.0,506.0,453.5,690.0,730.0,415.0,600.0,305.0,385.0,390.3,380.0,186.0,408.0,233.1,356.0,255.0,338.0,345.0,431.5,10879,11838,13531,6731,8497,8554,4149,1421,5676,1488,935,1796,236,81,1057,9466,2569,11413,1374,2760,4250,1786,145,1913,240,375,333,140,41,1091
Sep-2018,950.0,475.0,720.0,355.0,540.0,440.0,466.3,280.0,485.0,321.5,440.3,293.0,500.0,417.0,700.0,730.0,429.0,568.0,289.8,385.0,385.0,380.0,190.0,395.0,240.0,358.0,265.0,335.0,357.0,445.0,9720,10770,12138,6219,8337,8651,4014,1322,5875,1564,896,1581,257,89,881,7933,2293,9080,1220,2648,4201,1701,160,1965,294,359,302,155,46,942
Dec-2018,940.0,464.8,735.0,370.0,540.0,433.0,480.0,295.0,489.0,320.0,465.0,310.0,510.0,452.5,720.0,725.0,412.0,565.0,295.0,390.0,390.0,371.0,190.0,392.0,265.0,375.0,259.5,340.0,360.0,447.9,9621,11238,12270,6208,7867,8201,4282,1378,5752,1634,907,1593,249,78,1026,7301,2351,8497,1207,2455,3749,1701,159,1797,270,366,264,125,41,1043
Mar-2019,870.0,462.0,685.0,370.0,533.0,434.0,475.0,285.0,490.0,330.0,471.5,310.0,485.0,419.5,690.0,695.0,410.0,555.0,292.3,387.8,388.0,400.0,185.0,387.5,256.5,390.0,280.0,292.5,362.0,450.0,8565,9599,10284,5534,7380,7739,3793,1410,5717,1579,903,1607,221,80,777,6344,2003,7512,1076,2346,3758,1861,149,1849,230,341,289,120,46,739
Jun-2019,897.0,470.0,700.0,370.0,538.0,440.0,478.5,276.5,480.0,320.0,490.0,310.0,470.0,422.5,715.0,700.0,422.0,560.0,290.0,390.0,385.0,390.0,192.0,379.0,230.0,382.5,267.0,306.5,351.0,450.0,10397,10152,12317,5447,7514,7731,3944,1310,5676,1416,836,1435,223,78,979,8489,2235,9095,1132,2265,3849,1843,127,1738,227,348,284,170,34,855
Sep-2019,900.0,475.0,705.0,375.0,540.0,441.0,474.0,287.5,478.0,310.0,480.0,320.0,489.0,410.0,676.0,710.0,426.0,570.0,305.0,397.5,393.0,380.0,185.0,380.0,240.0,385.0,270.0,285.0,357.5,456.9,12196,11377,12832,5898,8520,9405,4016,1374,6013,1742,872,1499,230,71,1207,10383,2658,9594,1221,2755,4331,1751,169,1974,297,333,314,157,52,1095
Dec-2019,985.0,500.0,760.0,390.0,550.0,448.0,485.0,290.0,495.0,337.8,517.0,340.0,470.0,434.5,745.0,736.0,440.0,600.0,340.0,399.0,395.0,385.0,190.0,380.0,246.5,400.0,295.0,320.0,300.0,473.3,13545,12304,15628,6858,8429,9111,4215,1578,6229,1734,877,1616,239,76,1321,10963,2884,11399,1447,2796,4481,1807,160,2076,264,330,279,155,36,1242
Mar-2020,947.5,490.0,730.0,390.0,540.0,430.0,472.0,290.0,477.5,337.0,529.0,335.5,470.0,420.0,720.5,730.0,450.0,593.0,340.0,390.0,400.0,390.0,197.0,380.0,233.3,425.0,298.0,299.0,328.5,460.0,10009,10137,11249,5978,7605,8427,3625,1368,5782,1639,781,1706,221,65,1035,8960,2565,8764,1383,2830,4081,1671,168,2027,281,312,261,129,35,1015
Jun-2020,955.0,490.0,720.0,395.0,547.0,430.0,487.5,280.0,475.0,327.0,520.0,340.0,465.0,434.5,720.0,730.0,471.0,600.0,371.7,386.5,404.0,421.3,170.0,350.0,210.0,394.5,293.5,272.0,365.0,460.0,9532,9623,9335,4728,6917,7961,3354,1250,5297,1692,647,1095,209,68,1008,7010,2029,7441,1046,2100,3065,1645,143,1745,215,248,192,142,31,1009
Sep-2020,945.0,510.0,710.0,410.0,555.0,449.0,500.0,285.0,495.0,365.0,528.5,350.0,500.0,440.0,755.0,730.0,475.0,595.0,360.0,400.0,412.5,411.8,201.0,385.0,247.0,420.0,305.0,285.0,290.0,488.0,14050,15136,7227,6624,10023,12540,4291,1874,7847,2597,756,1715,262,121,1424,10394,3498,5485,1511,3162,5192,1984,204,2466,319,347,341,117,27,1468
Dec-2020,999.0,541.0,760.0,439.0,575.0,460.0,512.5,307.5,528.0,375.0,567.7,380.0,522.5,417.5,785.0,743.0,480.0,620.0,351.0,415.0,430.0,415.0,217.5,400.0,270.0,441.0,321.0,292.5,348.5,498.0,16275,16545,15775,7988,10940,13594,4421,2035,8873,2868,787,1693,306,118,1636,12117,3991,12583,1484,3812,6244,1911,246,3136,368,365,327,129,32,1777
Mar-2021,1052.0,560.0,800.0,455.0,600.0,465.0,523.0,300.0,535.0,392.5,610.0,400.0,535.0,462.0,835.0,750.0,510.0,630.0,360.0,420.0,440.0,420.0,220.0,414.0,265.0,471.1,330.0,340.0,324.5,505.0,15288,15289,16363,7785,11441,14411,4451,2154,9064,3029,868,1825,335,122,1237,13030,3862,13276,1513,4711,7539,2415,273,3401,463,364,351,133,26,1324
Jun-2021,1206.4,590.0,830.0,478.5,630.0,480.0,550.0,310.0,540.0,379.0,630.0,420.0,565.0,460.0,905.0,785.0,529.0,648.2,360.0,421.3,460.0,415.0,215.0,420.0,297.0,502.5,360.0,375.0,300.0,542.0,17458,15587,17680,7789,11805,13773,4847,2067,8731,2718,758,1570,402,127,1330,15268,3811,15762,1526,5136,7169,2560,290,3154,408,302,274,226,41,1504
Sep-2021,1300.0,625.0,840.0,500.0,657.0,480.0,580.0,309.0,525.0,365.0,700.0,445.0,580.0,460.0,940.0,800.0,550.0,650.8,380.0,430.0,480.0,425.0,217.8,415.0,299.5,540.0,360.0,360.0,290.0,530.0,15132,16242,12800,6355,13126,16084,4787,2150,7254,2381,790,1607,424,147,1126,13104,3794,11300,1261,6163,8092,2435,284,3279,496,319,289,241,37,1334
Dec-2021,1360.0,685.0,940.0,553.0,750.0,500.0,630.0,335.0,558.8,380.0,754.0,500.9,600.0,480.0,1040.0,806.0,590.0,655.0,425.0,450.0,501.0,450.0,210.0,412.8,295.0,570.0,410.0,382.0,300.0,590.0,17181,16838,20363,7892,12911,15506,5386,2402,7779,2509,767,1696,443,144,1477,15001,3850,15119,1544,6074,7456,2642,294,3254,505,361,292,197,42,1565
Mar-2022,1325.0,702.0,888.0,580.0,765.0,519.0,650.0,335.0,550.0,380.0,765.0,530.5,600.0,460.0,1080.0,780.0,610.0,640.0,419.5,459.0,517.0,454.9,205.0,410.0,320.0,586.3,410.0,402.0,315.0,575.0,12080,12535,14294,6493,10381,14272,4484,2250,7729,2468,814,1590,419,132,827,11561,3023,11607,1193,5695,6965,2359,338,3521,569,310,264,247,30,944
Jun-2022,1350.0,700.0,900.0,573.1,773.0,528.0,663.0,350.0,565.0,375.0,765.0,525.0,585.0,487.0,1059.0,775.0,600.0,640.0,425.0,470.0,540.0,465.0,211.0,405.0,324.5,575.0,420.0,400.0,320.0,600.0,11840,12387,14801,6074,9553,12547,4727,2090,6902,2233,761,1374,395,115,1094,11150,2705,12340,1103,5154,6009,2253,298,3158,466,300,242,221,39,1189
Sep-2022,1300.0,690.0,850.0,560.0,750.0,528.0,654.0,345.0,555.0,380.0,720.0,510.0,560.0,459.5,1000.0,750.0,595.0,618.0,420.0,470.0,530.0,485.0,225.0,400.0,300.0,565.0,422.5,360.0,306.5,596.0,11204,11168,12427,5491,9127,12461,4313,1751,7060,2200,628,1238,354,100,1058,10432,2608,10155,1031,4934,5887,1959,245,3003,487,261,260,218,20,1143
Dec-2022,1300.0,700.0,875.0,570.0,750.0,530.0,675.0,363.3,580.0,390.0,731.5,535.0,590.0,497.0,1000.0,765.0,600.0,615.0,415.0,480.0,535.0,480.0,220.0,400.0,313.5,565.0,415.0,382.5,320.0,600.0,10941,10689,12390,5286,8223,11347,4046,1798,6833,2036,714,1177,317,78,1189,9711,2398,9938,964,4391,5042,1952,232,3053,428,310,254,196,29,1008
Mar-2023,1250.1,700.0,835.0,570.0,757.0,540.0,680.0,381.8,578.0,400.0,705.0,520.0,575.0,505.4,984.0,765.0,601.8,605.0,422.5,483.0,550.0,489.5,245.0,402.6,320.0,560.0,420.0,370.0,305.0,610.0,9819,9609,10804,4942,8221,10976,3777,1703,7047,2026,736,1265,254,78,920,9928,2198,9772,915,4695,5287,1945,261,3480,467,277,254,166,20,865
Jun-2023,1355.0,710.0,842.0,570.0,775.0,560.0,702.3,395.0,600.0,400.0,696.5,540.0,590.0,478.0,983.0,800.0,608.0,618.0,425.0,500.0,561.6,525.0,257.0,410.0,323.0,557.0,460.0,387.5,340.0,600.0,12101,10772,12644,4991,8802,11139,4126,1692,6764,1993,682,1219,292,78,1006,12611,2466,10843,919,4738,5386,1898,243,3537,460,350,263,197,15,1009
Sep-2023,1370.0,719.0,840.0,570.0,800.0,570.0,715.0,410.0,620.0,415.0,695.2,526.3,585.0,463.5,987.5,795.0,625.0,620.0,416.0,525.0,580.0,520.0,287.0,420.0,320.5,550.0,435.0,376.0,260.0,619.9,12985,11057,12795,4964,9485,11988,4095,1683,6749,2115,686,1122,338,94,952,13516,2606,11292,944,5468,5966,1979,219,3592,474,289,245,195,25,947
Dec-2023,1420.0,720.0,868.0,580.0,830.0,580.0,750.3,430.0,675.0,445.0,710.5,525.5,589.0,466.3,1000.0,800.0,626.5,630.0,435.0,547.0,590.0,565.0,268.0,445.0,339.5,540.0,435.5,375.0,277.5,625.0,12582,11866,14055,5332,9412,11715,4460,1801,7137,2235,732,1234,287,72,1011,12643,2814,12414,937,5029,5497,2035,253,3823,480,277,255,191,18,908
Mar-2024,1401.0,747.0,845.0,575.0,850.0,605.0,765.9,455.0,705.0,450.0,705.0,538.3,570.0,425.0,985.0,790.0,625.0,615.0,425.5,580.0,625.0,570.0,269.5,475.0,362.0,550.8,450.0,390.0,350.0,597.0,11677,10871,13192,5465,9060,11687,4080,1809,6755,2190,759,1404,299,71,907,12519,2785,11651,1053,5123,5699,1954,270,3893,525,294,276,174,27,958
Jun-2024,1455.0,749.0,845.1,570.0,890.0,630.0,786.0,450.0,760.0,472.5,695.3,539.0,582.5,438.8,990.0,800.0,640.0,620.0,420.0,610.0,640.0,630.0,265.0,510.0,380.0,555.0,445.0,356.0,323.0,628.0,13477,12224,15052,5948,9588,11942,4501,1728,6747,2140,754,1331,322,76,1058,14200,2818,13246,1025,5061,5515,2127,250,3671,574,291,286,213,38,1039
Sep-2024,1415.0,743.5,825.0,556.5,890.0,648.0,818.3,465.0,780.0,490.0,700.0,515.0,560.0,420.0,995.5,815.0,640.0,605.0,420.0,630.0,657.5,610.0,248.0,545.0,375.0,525.0,455.0,350.0,280.0,595.6,13626,12308,14487,5746,10361,13195,4674,1876,7026,2354,793,1307,443,85,1039,14288,3168,12817,1187,5837,6360,2290,304,3881,523,305,298,253,27,1068
Dec-2024,1460.0,760.0,852.5,560.0,935.0,675.0,850.0,500.0,820.0,510.0,710.0,550.0,560.0,475.0,1000.0,825.0,650.0,610.0,412.0,655.0,665.9,640.0,325.0,560.0,395.5,545.0,465.0,343.5,261.5,610.0,13626,13161,16713,6786,9620,12455,4626,1767,7152,2274,816,1373,546,117,1249,12752,3133,13226,1249,5047,5969,2202,287,3746,530,321,324,264,31,1150
Mar-2025,1450.0,760.0,840.0,572.0,945.0,709.0,855.0,485.0,820.0,540.0,704.0,550.0,600.0,435.0,975.0,817.0,649.0,600.0,426.0,685.0,700.0,640.0,297.0,580.0,415.0,550.0,435.0,360.0,263.0,600.0,11505,12088,13933,6727,8345,11429,4341,1756,6821,2108,837,1471,473,90,1043,11433,3091,11545,1280,4633,5645,2011,239,3508,453,335,265,245,31,1084
Jun-2025,1460.0,760.0,820.0,570.0,960.0,710.0,865.0,505.0,840.0,549.0,696.0,540.0,620.0,440.0,1000.0,825.0,660.0,602.0,430.0,705.0,710.0,654.0,329.0,600.0,405.0,545.0,460.0,390.0,297.5,595.0,12194,12294,13990,6094,8521,10251,4521,1628,6672,1929,567,904,553,103,1037,12534,2977,11923,1130,4576,5253,2095,206,2980,388,225,195,333,30,1133
